Season,Episode,Part,Length,Date,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10,Doc11,Doc12,Doc13,Title,Title (temp),,
4,141,1,25,1966-12-17,0,y,0,0,0,0,0,0,0,0,0,0,0,The Highlanders,The Highlanders,,
4,142,2,25,1966-12-24,0,y,0,0,0,0,0,0,0,0,0,0,0,The Highlanders,0,,
4,143,3,25,1966-12-31,0,y,0,0,0,0,0,0,0,0,0,0,0,The Highlanders,0,,
4,144,4,25,1967-01-07,0,y,0,0,0,0,0,0,0,0,0,0,0,The Highlanders,0,,
4,145,1,25,1967-01-14,0,y,0,0,0,0,0,0,0,0,0,0,0,The Underwater Menace,The Underwater Menace,,
4,146,2,25,1967-01-21,0,y,0,0,0,0,0,0,0,0,0,0,0,The Underwater Menace,0,,
4,147,3,25,1967-01-28,0,y,0,0,0,0,0,0,0,0,0,0,0,The Underwater Menace,0,,
4,148,4,25,1967-02-04,0,y,0,0,0,0,0,0,0,0,0,0,0,The Underwater Menace,0,,
4,149,1,25,1967-02-11,0,y,0,0,0,0,0,0,0,0,0,0,0,The Moonbase,The Moonbase,,
4,150,2,25,1967-02-18,0,y,0,0,0,0,0,0,0,0,0,0,0,The Moonbase,0,,
4,151,3,25,1967-02-25,0,y,0,0,0,0,0,0,0,0,0,0,0,The Moonbase,0,,
4,152,4,25,1967-03-04,0,y,0,0,0,0,0,0,0,0,0,0,0,The Moonbase,0,,
4,153,1,25,1967-03-11,0,y,0,0,0,0,0,0,0,0,0,0,0,The Macra Terror,The Macra Terror,,
4,154,2,25,1967-03-18,0,y,0,0,0,0,0,0,0,0,0,0,0,The Macra Terror,0,,
4,155,3,25,1967-03-25,0,y,0,0,0,0,0,0,0,0,0,0,0,The Macra Terror,0,,
4,156,4,25,1967-04-01,0,y,0,0,0,0,0,0,0,0,0,0,0,The Macra Terror,0,,
4,157,1,25,1967-04-08,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,The Faceless Ones,,
4,158,2,25,1967-04-15,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,0,,
4,159,3,25,1967-04-22,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,0,,
4,160,4,25,1967-04-29,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,0,,
4,161,5,25,1967-05-06,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,0,,
4,162,6,25,1967-05-13,0,y,0,0,0,0,0,0,0,0,0,0,0,The Faceless Ones,0,,
4,163,1,25,1967-05-20,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,The Evil Of The Daleks,,
4,164,2,25,1967-05-27,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
4,165,3,25,1967-06-03,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
4,166,4,25,1967-06-10,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
4,167,5,25,1967-06-17,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
4,168,6,25,1967-06-24,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
4,169,7,25,1967-07-01,0,y,0,0,0,0,0,0,0,0,0,0,0,The Evil Of The Daleks,0,,
5,170,1,25,1967-09-02,0,y,0,0,0,0,0,0,0,0,0,0,0,The Tomb of the Cybermen,The Tomb of the Cybermen,,
5,171,2,25,1967-09-09,0,y,0,0,0,0,0,0,0,0,0,0,0,The Tomb of the Cybermen,0,,
5,172,3,25,1967-09-16,0,y,0,0,0,0,0,0,0,0,0,0,0,The Tomb of the Cybermen,0,,
5,173,4,25,1967-09-23,0,y,0,0,0,0,0,0,0,0,0,0,0,The Tomb of the Cybermen,0,,
5,174,1,25,1967-09-30,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,The Abominable Snowmen,,
5,175,2,25,1967-10-07,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,0,,
5,176,3,25,1967-10-14,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,0,,
5,177,4,25,1967-10-21,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,0,,
5,178,5,25,1967-10-28,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,0,,
5,179,6,25,1967-11-04,0,y,0,0,0,0,0,0,0,0,0,0,0,The Abominable Snowmen,0,,
5,180,1,25,1967-11-11,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,The Ice Warriors,,
5,181,2,25,1967-11-18,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,0,,
5,182,3,25,1967-11-25,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,0,,
5,183,4,25,1967-12-02,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,0,,
5,184,5,25,1967-12-09,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,0,,
5,185,6,25,1967-12-16,0,y,0,0,0,0,0,0,0,0,0,0,0,The Ice Warriors,0,,
5,186,1,25,1967-12-23,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,The Enemy of the World,,
5,187,2,25,1967-12-30,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,0,,
5,188,3,25,1968-01-06,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,0,,
5,189,4,25,1968-01-13,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,0,,
5,190,5,25,1968-01-20,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,0,,
5,191,6,25,1968-01-27,0,y,0,0,0,0,0,0,0,0,0,0,0,The Enemy of the World,0,,
5,192,1,25,1968-02-03,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,The Web Of Fear,,
5,193,2,25,1968-02-10,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,0,,
5,194,3,25,1968-02-17,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,0,,
5,195,4,25,1968-02-24,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,0,,
5,196,5,25,1968-03-02,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,0,,
5,197,6,25,1968-03-09,0,y,0,0,0,0,0,0,0,0,0,0,0,The Web Of Fear,0,,
5,198,1,25,1968-03-16,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,Fury From The Deep,,
5,199,2,25,1968-03-23,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,0,,
5,200,3,25,1968-03-30,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,0,,
5,201,4,25,1968-04-06,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,0,,
5,202,5,25,1968-04-13,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,0,,
5,203,6,25,1968-04-20,0,y,0,0,0,0,0,0,0,0,0,0,0,Fury From The Deep,0,,
5,204,1,25,1968-04-27,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,The Wheel In Space,,
5,205,2,25,1968-05-04,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,0,,
5,206,3,25,1968-05-11,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,0,,
5,207,4,25,1968-05-18,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,0,,
5,208,5,25,1968-05-25,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,0,,
5,209,6,25,1968-06-01,0,y,0,0,0,0,0,0,0,0,0,0,0,The Wheel In Space,0,,
6,210,1,25,1968-08-10,0,y,0,0,0,0,0,0,0,0,0,0,0,The Dominators,The Dominators,,
6,211,2,25,1968-08-17,0,y,0,0,0,0,0,0,0,0,0,0,0,The Dominators,0,,
6,212,3,25,1968-08-24,0,y,0,0,0,0,0,0,0,0,0,0,0,The Dominators,0,,
6,213,4,25,1968-08-31,0,y,0,0,0,0,0,0,0,0,0,0,0,The Dominators,0,,
6,214,5,25,1968-09-07,0,y,0,0,0,0,0,0,0,0,0,0,0,The Dominators,0,,
6,215,1,20,1968-09-14,0,y,0,0,0,0,0,0,0,0,0,0,0,The Mind Robber,The Mind Robber,,
6,216,2,20,1968-09-21,0,y,0,0,0,0,0,0,0,0,0,0,0,The Mind Robber,0,,
6,217,3,20,1968-09-28,0,y,0,0,0,0,0,0,0,0,0,0,0,The Mind Robber,0,,
6,218,4,20,1968-10-05,0,y,0,0,0,0,0,0,0,0,0,0,0,The Mind Robber,0,,
6,219,5,20,1968-10-12,0,y,0,0,0,0,0,0,0,0,0,0,0,The Mind Robber,0,,
6,220,1,25,1968-11-02,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,The Invasion,,
6,221,2,25,1968-11-09,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,222,3,25,1968-11-16,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,223,4,25,1968-11-23,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,224,5,25,1968-11-30,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,225,6,25,1968-12-07,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,226,7,25,1968-12-14,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,227,8,25,1968-12-21,0,y,0,0,0,0,0,0,0,0,0,0,0,The Invasion,0,,
6,228,1,25,1968-12-28,0,y,0,0,0,0,0,0,0,0,0,0,0,The Krotons,The Krotons,,
6,229,2,25,1969-01-04,0,y,0,0,0,0,0,0,0,0,0,0,0,The Krotons,0,,
6,230,3,25,1969-01-11,0,y,0,0,0,0,0,0,0,0,0,0,0,The Krotons,0,,
6,231,4,25,1969-01-18,0,y,0,0,0,0,0,0,0,0,0,0,0,The Krotons,0,,
6,232,1,25,1969-01-25,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,The Seeds Of Death,,
6,233,2,25,1969-02-01,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,0,,
6,234,3,25,1969-02-08,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,0,,
6,235,4,25,1969-02-15,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,0,,
6,236,5,25,1969-02-22,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,0,,
6,237,6,25,1969-03-01,0,y,0,0,0,0,0,0,0,0,0,0,0,The Seeds Of Death,0,,
6,238,1,25,1969-03-08,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,The Space Pirates,,
6,239,2,25,1969-03-15,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,0,,
6,240,3,25,1969-03-22,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,0,,
6,241,4,25,1969-03-29,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,0,,
6,242,5,25,1969-04-05,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,0,,
6,243,6,25,1969-04-12,0,y,0,0,0,0,0,0,0,0,0,0,0,The Space Pirates,0,,
6,244,1,25,1969-04-19,0,y,0,0,0,0,0,0,0,0,0,0,0,The War Games,The War Games,,
6,245,2,25,1969-04-26,0,y,0,0,0,0,0,0,0,0,0,0,0,The War Games,0,,
6,246,3,25,1969-05-03,0,y,0,0,0,0,0,0,0,0,0,0,0,The War Games,0,,
